"group","context","x","y","n","r","p"
"FWD_","all","sRPE","TRIMP_min",902,0.368,"< .001"
"FWD_","all","sRPE","HR_avg_pct_max",902,0.447,"< .001"
"FWD_","all","sRPE","HR80_pct_rd",902,0.363,"< .001"
"FWD_","all","sRPE","HR_peak",902,0.291,"< .001"
"FWD_","all","sRPE_TL_exposure","TRIMP",732,-0.183,"< .001"
"FWD_","all","sRPE_TL_exposure","HR80_mins",732,0.004,"0.923"
"FWD_","practice","sRPE","TRIMP_min",633,0.382,"< .001"
"FWD_","practice","sRPE","HR_avg_pct_max",633,0.38,"< .001"
"FWD_","practice","sRPE","HR80_pct_rd",633,0.391,"< .001"
"FWD_","practice","sRPE","HR_peak",633,0.245,"< .001"
"FWD_","practice","sRPE_TL_exposure","TRIMP",633,0.611,"< .001"
"FWD_","practice","sRPE_TL_exposure","HR80_mins",633,0.507,"< .001"
"FWD_","game","sRPE","TRIMP_min",269,0.427,"< .001"
"FWD_","game","sRPE","HR_avg_pct_max",269,0.408,"< .001"
"FWD_","game","sRPE","HR80_pct_rd",269,0.422,"< .001"
"FWD_","game","sRPE","HR_peak",269,-0.119,"0.052"
"FWD_","game","sRPE_TL_exposure","TRIMP",99,0.47,"< .001"
"FWD_","game","sRPE_TL_exposure","HR80_mins",99,0.607,"< .001"
