"model","term","estimate","SE","t","p","ci_lower","ci_upper","R2_marginal","R2_conditional"
"TRIMPmin","(Intercept)",6.38455778656924,0.203864939776808,31.317586013363,3.94112080689281e-25,5.98498984689627,6.78412572624221,0.199543527316696,0.526953318484562
"TRIMPmin","TRIMP_min_within_z",0.765936258011943,0.0935242120696089,8.18971088943114,8.45450247728933e-15,0.582632170673023,0.949240345350862,0.199543527316696,0.526953318484562
"TRIMPmin","game_position_fGame2",0.823813092669227,0.130788487096049,6.29881965118407,1.12402951462546e-09,0.56747236836849,1.08015381696996,0.199543527316696,0.526953318484562
"TRIMPmin","TRIMP_min_between_z",0.285491789677399,0.136738521863197,2.08786657766439,0.0476257383869431,0.017489211526291,0.553494367828508,0.199543527316696,0.526953318484562
"TRIMPmin","TRIMP_min_within_z:game_position_fGame2",-0.241906689943797,0.133138253658324,-1.81695856222216,0.070258963757935,-0.502852872078669,0.0190394921910755,0.199543527316696,0.526953318484562
"HR_avg","(Intercept)",6.29300785550472,0.200012897340748,31.4630103316976,2.03309112964592e-24,5.90098978027334,6.68502593073609,0.209221981669486,0.533037702635159
"HR_avg","HR_avg_within_z",0.827220868198826,0.0978730506822994,8.45197796974802,1.59871599359862e-15,0.635393213804456,1.0190485225932,0.209221981669486,0.533037702635159
"HR_avg","game_position_fGame2",0.965828360720851,0.136133537945718,7.09471284810039,1.01973578603267e-11,0.699011529259226,1.23264519218248,0.209221981669486,0.533037702635159
"HR_avg","HR_avg_between_z",0.248479420077664,0.140926651324869,1.76318260415384,0.0910902460453186,-0.0277317409809137,0.524690581136241,0.209221981669486,0.533037702635159
"HR_avg","HR_avg_within_z:game_position_fGame2",-0.216198753953374,0.137241775688588,-1.5753130041391,0.116270304144548,-0.485187691477331,0.0527901835705833,0.209221981669486,0.533037702635159
"HR80","(Intercept)",6.54198694317143,0.198117768988601,33.0206976212611,1.03600917256142e-24,6.15368325125635,6.93029063508652,0.198720100670598,0.515640862856125
"HR80","HR80_within_z",0.639356323406828,0.0807028617291854,7.92235008409387,5.11222724030786e-14,0.481181620968308,0.797531025845347,0.198720100670598,0.515640862856125
"HR80","game_position_fGame2",0.601045524273213,0.1210432329689,4.96554420706562,1.18696090361874e-06,0.363805147081878,0.838285901464547,0.198720100670598,0.515640862856125
"HR80","HR80_between_z",0.318293727021946,0.144185680952502,2.20752660679807,0.0374995260937376,0.0356949852686596,0.600892468775232,0.198720100670598,0.515640862856125
"HR80","HR80_within_z:game_position_fGame2",-0.155634577465909,0.125554760724583,-1.2395752782908,0.216134912919656,-0.401717386573635,0.0904482316418173,0.198720100670598,0.515640862856125
"HR_peak","(Intercept)",6.64939241247435,0.217301848906887,30.599796761617,8.49656549448153e-26,6.22348861484289,7.07529621010582,0.0363660340865184,0.390693736218005
"HR_peak","HR_peak_within_z",0.21697157424568,0.11726392801369,1.85028403807477,0.0652924243712575,-0.0128615013468507,0.44680464983821,0.0363660340865184,0.390693736218005
"HR_peak","game_position_fGame2",0.296572122919535,0.143600447314783,2.06525904664787,0.0398086291881712,0.0151204180187197,0.57802382782035,0.0363660340865184,0.390693736218005
"HR_peak","HR_peak_between_z",0.201526662722606,0.167124118680608,1.20585026454347,0.241344548566944,-0.126030590839383,0.529083916284594,0.0363660340865184,0.390693736218005
"HR_peak","HR_peak_within_z:game_position_fGame2",-0.0456421747847838,0.153948233971968,-0.296477417162803,0.767076428652279,-0.347375168853386,0.256090819283819,0.0363660340865184,0.390693736218005
